종목명,,"선물옵션
구분",,"최종
거래일",,행사가격,,"기초자산
기준가격",,,,잔존일수,,금리(%),,배당  현재가치,,변동성,,,이론가격,
"C 202307   480,000(  10)",,콜,,20230713,,"480,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"128,529.690000 ",
"C 202307   490,000(  10)",,콜,,20230713,,"490,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"118,615.860000 ",
"C 202307   500,000(  10)",,콜,,20230713,,"500,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"108,755.610000 ",
"C 202307   520,000(  10)",,콜,,20230713,,"520,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"89,370.760000 ",
"C 202307   540,000(  10)",,콜,,20230713,,"540,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"70,721.380000 ",
"C 202307   560,000(  10)",,콜,,20230713,,"560,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"53,615.610000 ",
"C 202307   580,000(  10)",,콜,,20230713,,"580,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"38,563.260000 ",
"C 202307   600,000(  10)",,콜,,20230713,,"600,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"26,068.640000 ",
"C 202307   620,000(  10)",,콜,,20230713,,"620,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.311 ,,,"16,762.750000 ",
"C 202307   640,000(  10)",,콜,,20230713,,"640,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.286 ,,,"8,520.650000 ",
"C 202307   660,000(  10)",,콜,,20230713,,"660,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.274 ,,,"3,926.220000 ",
"C 202307   680,000(  10)",,콜,,20230713,,"680,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.283 ,,,"2,081.260000 ",
"C 202307   700,000(  10)",,콜,,20230713,,"700,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.291 ,,,"1,061.580000 ",
"C 202308   480,000(  10)",,콜,,20230810,,"480,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"130,483.990000 ",
"C 202308   490,000(  10)",,콜,,20230810,,"490,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"120,935.370000 ",
"C 202308   500,000(  10)",,콜,,20230810,,"500,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"111,447.340000 ",
"C 202308   520,000(  10)",,콜,,20230810,,"520,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"93,245.080000 ",
"C 202308   540,000(  10)",,콜,,20230810,,"540,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"76,199.490000 ",
"C 202308   560,000(  10)",,콜,,20230810,,"560,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"60,681.830000 ",
"C 202308   580,000(  10)",,콜,,20230810,,"580,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"47,000.120000 ",
"C 202308   600,000(  10)",,콜,,20230810,,"600,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"35,342.870000 ",
"C 202308   620,000(  10)",,콜,,20230810,,"620,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"25,753.140000 ",
"C 202308   640,000(  10)",,콜,,20230810,,"640,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"18,151.010000 ",
"C 202308   660,000(  10)",,콜,,20230810,,"660,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"12,584.320000 ",
"C 202308   680,000(  10)",,콜,,20230810,,"680,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"8,489.590000 ",
"C 202308   700,000(  10)",,콜,,20230810,,"700,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.311 ,,,"5,549.240000 ",
"C 202309   340,000(  10)",,콜,,20230914,,"340,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"270,234.200000 ",
"C 202309   360,000(  10)",,콜,,20230914,,"360,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"250,428.230000 ",
"C 202309   380,000(  10)",,콜,,20230914,,"380,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"230,633.230000 ",
"C 202309   400,000(  10)",,콜,,20230914,,"400,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"210,873.680000 ",
"C 202309   420,000(  10)",,콜,,20230914,,"420,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"191,195.100000 ",
"C 202309   440,000(  10)",,콜,,20230914,,"440,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"171,682.120000 ",
"C 202309   460,000(  10)",,콜,,20230914,,"460,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"152,467.270000 ",
"C 202309   480,000(  10)",,콜,,20230914,,"480,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"133,730.220000 ",
"C 202309   500,000(  10)",,콜,,20230914,,"500,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"115,681.340000 ",
"C 202309   520,000(  10)",,콜,,20230914,,"520,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"98,532.510000 ",
"C 202309   540,000(  10)",,콜,,20230914,,"540,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"82,699.080000 ",
"C 202309   560,000(  10)",,콜,,20230914,,"560,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"68,405.040000 ",
"C 202309   580,000(  10)",,콜,,20230914,,"580,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"55,634.540000 ",
"C 202309   600,000(  10)",,콜,,20230914,,"600,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"44,360.450000 ",
"C 202309   620,000(  10)",,콜,,20230914,,"620,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"34,595.520000 ",
"C 202309   640,000(  10)",,콜,,20230914,,"640,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"26,963.790000 ",
"C 202309   660,000(  10)",,콜,,20230914,,"660,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"20,512.800000 ",
"C 202309   680,000(  10)",,콜,,20230914,,"680,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"15,087.430000 ",
"C 202309   700,000(  10)",,콜,,20230914,,"700,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"11,304.770000 ",
"C 202309   720,000(  10)",,콜,,20230914,,"720,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"8,185.200000 ",
"C 202309   760,000(  10)",,콜,,20230914,,"760,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"4,158.410000 ",
"C 202309   800,000(  10)",,콜,,20230914,,"800,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.311 ,,,"1,985.690000 ",
"C 202312   360,000(  10)",,콜,,20231214,,"360,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"253,965.900000 ",
"C 202312   380,000(  10)",,콜,,20231214,,"380,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"234,585.190000 ",
"C 202312   400,000(  10)",,콜,,20231214,,"400,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"215,421.570000 ",
"C 202312   420,000(  10)",,콜,,20231214,,"420,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"196,620.480000 ",
"C 202312   440,000(  10)",,콜,,20231214,,"440,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"178,253.010000 ",
"C 202312   460,000(  10)",,콜,,20231214,,"460,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"160,348.030000 ",
"C 202312   480,000(  10)",,콜,,20231214,,"480,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"143,306.560000 ",
"C 202312   500,000(  10)",,콜,,20231214,,"500,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"127,190.480000 ",
"C 202312   520,000(  10)",,콜,,20231214,,"520,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"111,682.450000 ",
"C 202312   560,000(  10)",,콜,,20231214,,"560,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"84,718.060000 ",
"C 202312   600,000(  10)",,콜,,20231214,,"600,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"62,371.070000 ",
"C 202312   640,000(  10)",,콜,,20231214,,"640,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"44,622.420000 ",
"C 202312   680,000(  10)",,콜,,20231214,,"680,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"31,059.650000 ",
"C 202312   720,000(  10)",,콜,,20231214,,"720,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"21,029.100000 ",
"C 202312   760,000(  10)",,콜,,20231214,,"760,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.311 ,,,"13,811.000000 ",
"C 202403   460,000(  10)",,콜,,20240314,,"460,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"168,718.110000 ",
"C 202403   480,000(  10)",,콜,,20240314,,"480,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"153,011.830000 ",
"C 202403   500,000(  10)",,콜,,20240314,,"500,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"137,541.450000 ",
"C 202403   520,000(  10)",,콜,,20240314,,"520,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"123,776.050000 ",
"C 202403   560,000(  10)",,콜,,20240314,,"560,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"98,312.330000 ",
"C 202403   600,000(  10)",,콜,,20240314,,"600,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"76,707.950000 ",
"C 202403   640,000(  10)",,콜,,20240314,,"640,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"58,729.590000 ",
"C 202403   680,000(  10)",,콜,,20240314,,"680,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"44,104.040000 ",
"C 202403   720,000(  10)",,콜,,20240314,,"720,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"33,310.740000 ",
"C 202403   760,000(  10)",,콜,,20240314,,"760,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.311 ,,,"24,668.900000 ",
"C 202406   480,000(  10)",,콜,,20240613,,"480,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"161,885.670000 ",
"C 202406   500,000(  10)",,콜,,20240613,,"500,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"147,809.850000 ",
"C 202406   520,000(  10)",,콜,,20240613,,"520,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"134,251.400000 ",
"C 202406   560,000(  10)",,콜,,20240613,,"560,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"110,054.910000 ",
"C 202406   600,000(  10)",,콜,,20240613,,"600,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"89,096.710000 ",
"C 202406   640,000(  10)",,콜,,20240613,,"640,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"70,953.440000 ",
"C 202406   680,000(  10)",,콜,,20240613,,"680,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"56,532.220000 ",
"C 202406   720,000(  10)",,콜,,20240613,,"720,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"44,698.410000 ",
"C 202406   760,000(  10)",,콜,,20240613,,"760,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"34,355.400000 ",
"P 202307   480,000(  10)",,풋,,20230713,,"480,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,15.800000 ,
"P 202307   490,000(  10)",,풋,,20230713,,"490,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,38.930000 ,
"P 202307   500,000(  10)",,풋,,20230713,,"500,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,86.970000 ,
"P 202307   520,000(  10)",,풋,,20230713,,"520,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,399.500000 ,
"P 202307   540,000(  10)",,풋,,20230713,,"540,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.314 ,,,"2,126.910000 ",
"P 202307   560,000(  10)",,풋,,20230713,,"560,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.297 ,,,"4,265.810000 ",
"P 202307   580,000(  10)",,풋,,20230713,,"580,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"7,966.440000 ",
"P 202307   600,000(  10)",,풋,,20230713,,"600,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"15,031.660000 ",
"P 202307   620,000(  10)",,풋,,20230713,,"620,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"25,675.120000 ",
"P 202307   640,000(  10)",,풋,,20230713,,"640,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.266 ,,,"38,305.790000 ",
"P 202307   660,000(  10)",,풋,,20230713,,"660,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"55,091.220000 ",
"P 202307   680,000(  10)",,풋,,20230713,,"680,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"72,877.340000 ",
"P 202307   700,000(  10)",,풋,,20230713,,"700,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"91,690.330000 ",
"P 202308   480,000(  10)",,풋,,20230810,,"480,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,305.850000 ,
"P 202308   490,000(  10)",,풋,,20230810,,"490,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,527.520000 ,
"P 202308   500,000(  10)",,풋,,20230810,,"500,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,877.650000 ,
"P 202308   520,000(  10)",,풋,,20230810,,"520,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"2,075.620000 ",
"P 202308   540,000(  10)",,풋,,20230810,,"540,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"4,291.150000 ",
"P 202308   560,000(  10)",,풋,,20230810,,"560,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"7,980.230000 ",
"P 202308   580,000(  10)",,풋,,20230810,,"580,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"13,714.510000 ",
"P 202308   600,000(  10)",,풋,,20230810,,"600,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"21,725.140000 ",
"P 202308   620,000(  10)",,풋,,20230810,,"620,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"32,047.730000 ",
"P 202308   640,000(  10)",,풋,,20230810,,"640,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"44,582.570000 ",
"P 202308   660,000(  10)",,풋,,20230810,,"660,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"59,075.950000 ",
"P 202308   680,000(  10)",,풋,,20230810,,"680,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"75,185.230000 ",
"P 202308   700,000(  10)",,풋,,20230810,,"700,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"92,561.110000 ",
"P 202309   340,000(  10)",,풋,,20230914,,"340,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,0.100000 ,
"P 202309   360,000(  10)",,풋,,20230914,,"360,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,0.870000 ,
"P 202309   380,000(  10)",,풋,,20230914,,"380,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,4.410000 ,
"P 202309   400,000(  10)",,풋,,20230914,,"400,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,20.020000 ,
"P 202309   420,000(  10)",,풋,,20230914,,"420,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,74.260000 ,
"P 202309   440,000(  10)",,풋,,20230914,,"440,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,220.370000 ,
"P 202309   460,000(  10)",,풋,,20230914,,"460,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,560.620000 ,
"P 202309   480,000(  10)",,풋,,20230914,,"480,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"1,262.220000 ",
"P 202309   500,000(  10)",,풋,,20230914,,"500,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"2,562.880000 ",
"P 202309   520,000(  10)",,풋,,20230914,,"520,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"4,755.280000 ",
"P 202309   540,000(  10)",,풋,,20230914,,"540,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"8,147.970000 ",
"P 202309   560,000(  10)",,풋,,20230914,,"560,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"13,012.390000 ",
"P 202309   580,000(  10)",,풋,,20230914,,"580,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"19,536.320000 ",
"P 202309   600,000(  10)",,풋,,20230914,,"600,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"27,802.900000 ",
"P 202309   620,000(  10)",,풋,,20230914,,"620,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"37,802.030000 ",
"P 202309   640,000(  10)",,풋,,20230914,,"640,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"49,950.650000 ",
"P 202309   660,000(  10)",,풋,,20230914,,"660,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"63,661.510000 ",
"P 202309   680,000(  10)",,풋,,20230914,,"680,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"78,625.780000 ",
"P 202309   700,000(  10)",,풋,,20230914,,"700,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"94,653.340000 ",
"P 202309   720,000(  10)",,풋,,20230914,,"720,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"111,969.070000 ",
"P 202309   760,000(  10)",,풋,,20230914,,"760,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"148,300.060000 ",
"P 202309   800,000(  10)",,풋,,20230914,,"800,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"186,470.120000 ",
"P 202312   360,000(  10)",,풋,,20231214,,"360,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,80.660000 ,
"P 202312   380,000(  10)",,풋,,20231214,,"380,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,202.140000 ,
"P 202312   400,000(  10)",,풋,,20231214,,"400,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,446.840000 ,
"P 202312   420,000(  10)",,풋,,20231214,,"420,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,886.110000 ,
"P 202312   440,000(  10)",,풋,,20231214,,"440,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"1,727.570000 ",
"P 202312   460,000(  10)",,풋,,20231214,,"460,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"3,080.290000 ",
"P 202312   480,000(  10)",,풋,,20231214,,"480,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"5,055.420000 ",
"P 202312   500,000(  10)",,풋,,20231214,,"500,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"7,693.690000 ",
"P 202312   520,000(  10)",,풋,,20231214,,"520,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"11,556.030000 ",
"P 202312   560,000(  10)",,풋,,20231214,,"560,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"22,399.500000 ",
"P 202312   600,000(  10)",,풋,,20231214,,"600,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"38,767.820000 ",
"P 202312   640,000(  10)",,풋,,20231214,,"640,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"60,165.280000 ",
"P 202312   680,000(  10)",,풋,,20231214,,"680,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"86,203.380000 ",
"P 202312   720,000(  10)",,풋,,20231214,,"720,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"116,143.850000 ",
"P 202312   760,000(  10)",,풋,,20231214,,"760,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"149,106.500000 ",
"P 202403   460,000(  10)",,풋,,20240314,,"460,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"6,270.080000 ",
"P 202403   480,000(  10)",,풋,,20240314,,"480,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"8,986.810000 ",
"P 202403   500,000(  10)",,풋,,20240314,,"500,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"12,817.510000 ",
"P 202403   520,000(  10)",,풋,,20240314,,"520,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"17,459.160000 ",
"P 202403   560,000(  10)",,풋,,20240314,,"560,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"29,860.440000 ",
"P 202403   600,000(  10)",,풋,,20240314,,"600,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"46,493.010000 ",
"P 202403   640,000(  10)",,풋,,20240314,,"640,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"67,273.280000 ",
"P 202403   680,000(  10)",,풋,,20240314,,"680,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"91,813.030000 ",
"P 202403   720,000(  10)",,풋,,20240314,,"720,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"119,709.970000 ",
"P 202403   760,000(  10)",,풋,,20240314,,"760,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"150,889.900000 ",
"P 202406   480,000(  10)",,풋,,20240613,,"480,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"12,996.520000 ",
"P 202406   500,000(  10)",,풋,,20240613,,"500,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"17,035.030000 ",
"P 202406   520,000(  10)",,풋,,20240613,,"520,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"22,540.330000 ",
"P 202406   560,000(  10)",,풋,,20240613,,"560,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"35,701.250000 ",
"P 202406   600,000(  10)",,풋,,20240613,,"600,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"52,525.460000 ",
"P 202406   640,000(  10)",,풋,,20240613,,"640,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"72,760.650000 ",
"P 202406   680,000(  10)",,풋,,20240613,,"680,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"96,422.870000 ",
"P 202406   720,000(  10)",,풋,,20240613,,"720,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"123,649.710000 ",
"P 202406   760,000(  10)",,풋,,20240613,,"760,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"152,899.980000 ",
